"Species_name","cleaned_name","tnrs_original_name","tnrs_matched_name","tnrs_accepted_name","tnrs_accepted_author","tnrs_family","tnrs_powo_uri","tnrs_taxonomic_status","tnrs_overall_score","tnrs_match_type"
"Orobanchea sp","Orobanchea","Orobanchea","Orobanche","Orobanche","L.","Orobanchaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:328937-2","Accepted",0.96021221090168,"accepted_or_direct"
"Os regalis","Os regalis","Os regalis","[No match found]","","","","","",NA,"unresolved_no_match"
"Osalix acetosella","Osalix acetosella","Osalix acetosella","Oxalis acetosella","Oxalis acetosella","L.","Oxalidaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30012601-2","Accepted",0.90498550860639,"accepted_or_direct"
"Osmunda regalis","Osmunda regalis","Osmunda regalis","Osmunda regalis","Osmunda regalis","L.","Osmundaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:305721-2","Accepted",1,"accepted_or_direct"
"Oxalis acetosella","Oxalis acetosella","Oxalis acetosella","Oxalis acetosella","Oxalis acetosella","L.","Oxalidaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30012601-2","Accepted",1,"accepted_or_direct"
"Oxalis corniculata","Oxalis corniculata","Oxalis corniculata","Oxalis corniculata","Oxalis corniculata","L.","Oxalidaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:177893-2","Accepted",1,"accepted_or_direct"
"Oxalis latifolia","Oxalis latifolia","Oxalis latifolia","Oxalis latifolia","Oxalis latifolia","Kunth","Oxalidaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:375051-1","Accepted",1,"accepted_or_direct"
"Oxytropis neglecta","Oxytropis neglecta","Oxytropis neglecta","Oxytropis neglecta","Oxytropis neglecta","J.Gay ex Ten.","Fabaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:511717-1","Accepted",1,"accepted_or_direct"
"P. avium","P. avium","P. avium","[No match found]","","","","","",NA,"unresolved_no_match"
"P. hieracioides","P. hieracioides","P. hieracioides","[No match found]","","","","","",NA,"unresolved_no_match"
"P. longifolium","P. longifolium","P. longifolium","[No match found]","","","","","",NA,"unresolved_no_match"
"P. setiferum","P. setiferum","P. setiferum","[No match found]","","","","","",NA,"unresolved_no_match"
"Pa corimbosum","Pa corimbosum","Pa corimbosum","[No match found]","","","","","",NA,"unresolved_no_match"
"Pa palustris","Pa palustris","Pa palustris","[No match found]","","","","","",NA,"unresolved_no_match"
"Pa spinosa","Pa spinosa","Pa spinosa","[No match found]","","","","","",NA,"unresolved_no_match"
"Pancratium maritimum","Pancratium maritimum","Pancratium maritimum","Pancratium maritimum","Pancratium maritimum","L.","Amaryllidaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:66466-1","Accepted",1,"accepted_or_direct"
"Parietaria judaica","Parietaria judaica","Parietaria judaica","Parietaria judaica","Parietaria judaica","L.","Urticaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:854934-1","Accepted",1,"accepted_or_direct"
"Paronychia kapela","Paronychia kapela","Paronychia kapela","Paronychia kapela","Paronychia kapela","(Hacq.) A.Kern.","Caryophyllaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:435061-1","Accepted",1,"accepted_or_direct"
"Paspalum dilatatum","Paspalum dilatatum","Paspalum dilatatum","Paspalum dilatatum","Paspalum dilatatum","Poir.","Poaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:414070-1","Accepted",1,"accepted_or_direct"
"Paspalum vaginatum","Paspalum vaginatum","Paspalum vaginatum","Paspalum vaginatum","Paspalum vaginatum","Sw.","Poaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:184742-2","Accepted",1,"accepted_or_direct"
"Pe saliunium","Pe saliunium","Pe saliunium","[No match found]","","","","","",NA,"unresolved_no_match"
"Pedicularis pyrenaica","Pedicularis pyrenaica","Pedicularis pyrenaica","Pedicularis pyrenaica","Pedicularis pyrenaica","J.Gay","Orobanchaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:807540-1","Accepted",1,"accepted_or_direct"
"Pedicularis sylvatica","Pedicularis sylvatica","Pedicularis sylvatica","Pedicularis sylvatica","Pedicularis sylvatica","L.","Orobanchaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:807692-1","Accepted",1,"accepted_or_direct"
"Pen sempervirens","Pen sempervirens","Pen sempervirens","[No match found]","","","","","",NA,"unresolved_no_match"
"Pen sempervirens ","Pen sempervirens","Pen sempervirens","[No match found]","","","","","",NA,"unresolved_no_match"
"Penta sempervirens","Penta sempervirens","Penta sempervirens","Pentas","Pentas","Benth.","Rubiaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:35090-1","Accepted",0.48720303580637,"unresolved_low_score"
"Pentanema squarrosum","Pentanema squarrosum","Pentanema squarrosum","Pentanema squarrosum","Pentanema squarrosum","(L.) D.Gut.Larr., Santos-Vicente, Anderb., E.Rico & M.M.Mart.Ort.","Asteraceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60478388-2","Accepted",1,"accepted_or_direct"
